code,idx,date,close
000001.XSHE,0.0,2019-05-31,11.85
000001.XSHE,1.0,2019-06-28,13.55
000001.XSHE,2.0,2019-07-31,13.89
000001.XSHE,3.0,2019-08-30,13.92
000001.XSHE,4.0,2019-09-30,15.33
000001.XSHE,5.0,2019-10-31,15.98
000001.XSHE,6.0,2019-11-29,15.03
000001.XSHE,7.0,2019-12-31,16.17
000001.XSHE,8.0,2020-01-23,15.28
000001.XSHE,9.0,2020-02-28,14.25
000001.XSHE,10.0,2020-03-31,12.58
000001.XSHE,11.0,2020-04-30,13.69
000002.XSHE,0.0,2019-05-31,25.67
000002.XSHE,1.0,2019-06-28,26.73
000002.XSHE,2.0,2019-07-31,27.65
000002.XSHE,3.0,2019-08-30,25.8
000002.XSHE,4.0,2019-09-30,25.9
000002.XSHE,5.0,2019-10-31,26.53
000002.XSHE,6.0,2019-11-29,27.7
000002.XSHE,7.0,2019-12-31,32.18
000002.XSHE,8.0,2020-01-23,28.98
000002.XSHE,9.0,2020-02-28,29.59
000002.XSHE,10.0,2020-03-31,25.65
000002.XSHE,11.0,2020-04-30,26.8
000004.XSHE,0.0,2019-05-31,21.5
000004.XSHE,1.0,2019-06-28,21.22
000004.XSHE,2.0,2019-07-31,18.5
000004.XSHE,3.0,2019-08-30,19.84
000004.XSHE,4.0,2019-09-30,18.8
000004.XSHE,5.0,2019-10-31,18.19
000004.XSHE,6.0,2019-11-29,19.91
000004.XSHE,7.0,2019-12-31,22.59
000004.XSHE,8.0,2020-01-23,22.82
000004.XSHE,9.0,2020-02-28,40.7
000004.XSHE,10.0,2020-03-31,30.51
000004.XSHE,11.0,2020-04-30,27.68
000005.XSHE,0.0,2019-05-31,3.03
000005.XSHE,1.0,2019-06-28,3.04
000005.XSHE,2.0,2019-07-31,2.92
000005.XSHE,3.0,2019-08-30,3.1
000005.XSHE,4.0,2019-09-30,3.18
000005.XSHE,5.0,2019-10-31,3.02
000005.XSHE,6.0,2019-11-29,2.93
000005.XSHE,7.0,2019-12-31,3.09
000005.XSHE,8.0,2020-01-23,2.97
000005.XSHE,9.0,2020-02-28,2.79
000005.XSHE,10.0,2020-03-31,2.74
000005.XSHE,11.0,2020-04-30,2.68
000006.XSHE,0.0,2019-05-31,5.3
000006.XSHE,1.0,2019-06-28,5.45
000006.XSHE,2.0,2019-07-31,5.29
000006.XSHE,3.0,2019-08-30,5.3
000006.XSHE,4.0,2019-09-30,5.03
000006.XSHE,5.0,2019-10-31,5.23
000006.XSHE,6.0,2019-11-29,5.12
000006.XSHE,7.0,2019-12-31,5.36
000006.XSHE,8.0,2020-01-23,5.08
000006.XSHE,9.0,2020-02-28,4.63
000006.XSHE,10.0,2020-03-31,4.48
000006.XSHE,11.0,2020-04-30,4.99
000007.XSHE,0.0,2019-05-31,7.14
000007.XSHE,1.0,2019-06-28,6.83
000007.XSHE,2.0,2019-07-31,6.62
000007.XSHE,3.0,2019-08-30,8.0
000007.XSHE,4.0,2019-09-30,8.38
000007.XSHE,5.0,2019-10-31,8.95
000007.XSHE,6.0,2019-11-29,10.01
000007.XSHE,7.0,2019-12-31,9.5
000007.XSHE,8.0,2020-01-23,9.11
000007.XSHE,9.0,2020-02-28,8.63
000007.XSHE,10.0,2020-03-31,8.09
000007.XSHE,11.0,2020-04-30,7.96
000008.XSHE,0.0,2019-05-31,3.79
000008.XSHE,1.0,2019-06-28,3.76
000008.XSHE,2.0,2019-07-31,3.6
000008.XSHE,3.0,2019-08-30,3.45
000008.XSHE,4.0,2019-09-30,3.42
000008.XSHE,5.0,2019-10-31,3.42
